Age,Age_Group,Gender,Country,City,Membership_Years,Membership_Length,Login_Frequency,Login_Levels,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Discount_Usage_Tiers,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Lifetime_Value_Levels,Credit_Balance,Churned,Signup_Quarter
49,"Established (45-54)",Male,USA,Houston,0.3,"< 1 year",10,"Low Activity",41.8,13.2,28.9,8,51,141.25,16,51.70,"High Discount Usage",96.15,30.4,4,7,NULL,17.1,2,1860.52,"Core Value",1846,0,"Q3"
49,"Established (45-54)",Female,Canada,Ottawa,0.2,"< 1 year",2,"Very Low Activity",17.9,3.3,88.3,1,92,114.57,60,75.24,"High Discount Usage",96.12,6.2,11,NULL,NULL,16.9,2,417.78,"Emerging Value",1117,1,"Q4"
40,"Middle Age (35-44)",Female,Canada,Ottawa,0.4,"< 1 year",4,"Low Activity",24.3,4.6,43.2,2,84,150.82,12,23.80,"Moderate Discount Usage",96.11,NULL,5,0,30.4,23.5,1,1596.87,"Core Value",959,0,"Q1"
66,"Seniors (65+)",Male,India,Hyderabad,0.2,"< 1 year",28,"Top User",52.8,NULL,19.0,14,73,98.17,106,65.30,"High Discount Usage",96.09,44.0,6,2,50.1,NULL,2,1885.04,"Core Value",NULL,1,"Q1"
58,"Pre-Retirement (55-64)",Male,USA,Chicago,0.4,"< 1 year",25,"Moderate Activity",48.9,17.1,30.5,10,63,108.94,14,18.00,"Low Discount Usage",95.92,49.7,3,3,51.1,34.7,2,2299.79,"Core Value",1892,0,"Q3"
35,"Middle Age (35-44)",Female,Australia,Sydney,0.2,"< 1 year",3,"Very Low Activity",13.2,8.9,53.8,2,57,154.23,72,49.90,"Moderate Discount Usage",95.92,9.5,6,3,NULL,18.6,3,1226.99,"Core Value",1721,0,"Q1"
55,"Pre-Retirement (55-64)",Other,Australia,Sydney,0.2,"< 1 year",21,"Moderate Activity",45.9,13.5,32.0,5,123,116.77,28,95.64,"Deal Dependent",95.76,50.1,5,8,68.0,33.2,3,2105.52,"Core Value",3984,0,"Q4"
46,"Established (45-54)",Male,UK,Leeds,0.2,"< 1 year",10,"Low Activity",22.9,6.8,53.7,2,102,102.40,94,45.00,"Moderate Discount Usage",95.63,22.5,2,5,39.1,18.0,3,625.05,"Emerging Value",1418,0,"Q4"
45,"Established (45-54)",Female,France,Marseille,0.2,"< 1 year",13,"Moderate Activity",30.9,14.1,38.0,6,107,130.93,43,17.28,"Low Discount Usage",95.38,38.7,2,6,53.0,25.7,3,1802.83,"Core Value",NULL,0,"Q4"
45,"Established (45-54)",Female,Canada,Calgary,0.1,"< 1 year",11,"Moderate Activity",NULL,7.1,60.7,7,60,149.03,10,44.90,"Moderate Discount Usage",95.26,26.0,9,NULL,42.5,12.5,1,2017.74,"Core Value",1268,1,"Q3"
47,"Established (45-54)",Female,Australia,Brisbane,0.4,"< 1 year",10,"Low Activity",22.7,5.3,95.1,1,60,112.99,9,66.70,"High Discount Usage",94.16,14.4,5,3,41.3,15.8,NULL,2173.89,"Core Value",1736,0,"Q3"
42,"Middle Age (35-44)",Female,USA,Houston,0.2,"< 1 year",6,"Low Activity",20.3,6.4,81.6,2,72,188.84,3,22.50,"Moderate Discount Usage",94.11,18.8,6,3,10.0,7.1,3,1100.97,"Core Value",1568,0,"Q3"
18,"Young Adults (18-24)",Male,Germany,Cologne,0.5,"< 1 year",8,"Low Activity",16.1,4.0,62.6,4,85,86.23,NULL,58.32,"High Discount Usage",93.78,9.3,10,2,15.1,8.3,3,674.27,"Emerging Value",2366,0,"Q4"
50,"Established (45-54)",Male,Canada,Vancouver,0.4,"< 1 year",15,"Moderate Activity",26.1,5.6,57.8,6,73,162.88,NULL,46.70,"Moderate Discount Usage",93.29,25.1,6,2,NULL,NULL,2,1406.38,"Core Value",3344,0,"Q2"
43,"Middle Age (35-44)",Female,USA,Phoenix,0.5,"< 1 year",7,"Low Activity",NULL,10.2,82.2,5,118,164.51,8,42.72,"Moderate Discount Usage",93.08,32.3,6,5,10.6,16.8,1,1834.98,"Core Value",1542,0,"Q4"
29,"Early Career (25-34)",Male,UK,Manchester,0.4,"< 1 year",25,"Moderate Activity",25.6,3.6,59.3,NULL,102,140.97,NULL,56.88,"High Discount Usage",92.68,18.5,5,0,16.1,NULL,3,1471.94,"Core Value",2845,0,"Q4"
39,"Middle Age (35-44)",Male,UK,Glasgow,0.4,"< 1 year",NULL,Inactive,11.1,6.2,92.2,0,53,115.60,31,73.80,"High Discount Usage",92.31,3.9,11,1,NULL,4.5,4,858.87,"Emerging Value",2292,1,"Q1"
33,"Early Career (25-34)",Male,Canada,Ottawa,0.3,"< 1 year",14,"Moderate Activity",42.5,17.5,42.2,13,71,122.50,18,32.28,"Moderate Discount Usage",92.28,40.0,3,4,17.1,32.1,NULL,2614.18,"High Value",3494,0,"Q4"
42,"Middle Age (35-44)",Male,UK,Birmingham,0.3,"< 1 year",10,"Low Activity",NULL,6.6,64.3,4,94,112.40,16,14.80,"Low Discount Usage",92.21,17.2,8,1,23.7,22.3,1,727.80,"Emerging Value",NULL,0,"Q3"
NULL,Unknown,Female,USA,Houston,0.2,"< 1 year",NULL,Inactive,NULL,4.7,68.9,NULL,74,110.45,10,78.36,"High Discount Usage",91.76,3.4,5,2,24.6,7.4,2,691.12,"Emerging Value",999,0,"Q4"
25,"Early Career (25-34)",Male,India,Chennai,0.3,"< 1 year",17,"Moderate Activity",21.1,10.7,75.9,4,102,108.96,9,29.28,"Moderate Discount Usage",91.41,7.3,2,NULL,33.2,NULL,1,1255.53,"Core Value",938,0,"Q4"
33,"Early Career (25-34)",Male,USA,"New York",0.3,"< 1 year",15,"Moderate Activity",30.7,10.2,58.4,4,81,93.04,43,23.70,"Moderate Discount Usage",91.24,16.3,2,2,53.7,20.8,NULL,1221.17,"Core Value",NULL,0,"Q3"
35,"Middle Age (35-44)",Female,India,Bangalore,0.3,"< 1 year",11,"Moderate Activity",34.9,10.6,47.7,7,93,148.50,7,41.10,"Moderate Discount Usage",90.87,32.5,4,3,43.2,36.7,3,2102.58,"Core Value",1379,0,"Q2"
32,"Early Career (25-34)",Male,Germany,Frankfurt,0.3,"< 1 year",7,"Low Activity",NULL,8.2,74.1,2,72,98.95,2,64.40,"High Discount Usage",90.85,16.7,5,0,0.0,13.8,NULL,716.14,"Emerging Value",1885,0,"Q2"
28,"Early Career (25-34)",Female,USA,"New York",0.4,"< 1 year",20,"Moderate Activity",31.9,12.0,42.0,3,66,129.51,3,NULL,Unknown,90.60,15.0,5,3,62.6,NULL,1,1720.75,"Core Value",1368,0,"Q1"
60,"Pre-Retirement (55-64)",Female,Australia,Adelaide,0.5,"< 1 year",16,"Moderate Activity",34.2,10.0,47.8,5,84,181.12,210,30.84,"Moderate Discount Usage",90.44,30.2,3,6,23.3,11.5,2,2422.05,"Core Value",2207,0,"Q4"
36,"Middle Age (35-44)",Male,Germany,Hamburg,0.1,"< 1 year",10,"Low Activity",21.1,7.4,57.5,7,86,101.20,17,54.80,"High Discount Usage",90.17,5.5,6,0,0.0,9.2,2,938.06,"Emerging Value",1131,0,"Q3"
NULL,Unknown,Female,Australia,Brisbane,0.1,"< 1 year",16,"Moderate Activity",27.1,11.0,45.3,7,87,57.61,32,33.90,"Moderate Discount Usage",89.93,27.4,10,3,17.5,15.2,3,1002.74,"Core Value",1119,0,"Q1"
31,"Early Career (25-34)",Male,UK,London,0.3,"< 1 year",7,"Low Activity",31.3,8.9,56.1,7,55,123.65,51,29.00,"Moderate Discount Usage",89.75,18.3,6,1,40.7,28.8,4,1611.48,"Core Value",NULL,0,"Q1"
28,"Early Career (25-34)",Male,Germany,Munich,0.2,"< 1 year",21,"Moderate Activity",33.7,8.3,61.0,4,66,63.41,91,5.30,"Low Discount Usage",89.73,26.2,7,3,24.8,23.3,2,774.67,"Emerging Value",1860,0,"Q3"
54,"Established (45-54)",Male,USA,Chicago,0.2,"< 1 year",6,"Low Activity",26.8,6.3,65.7,1,77,182.45,13,43.80,"Moderate Discount Usage",89.61,20.1,9,2,23.0,10.8,3,1328.30,"Core Value",2717,0,"Q1"
NULL,Unknown,Male,India,Bangalore,0.2,"< 1 year",7,"Low Activity",10.5,10.1,66.9,4,95,72.95,9,NULL,Unknown,89.12,0.0,7,1,6.5,5.9,2,465.02,"Emerging Value",1516,0,"Q2"
49,"Established (45-54)",Male,USA,Houston,0.4,"< 1 year",17,"Moderate Activity",38.1,7.7,38.5,8,72,180.07,2,58.90,"High Discount Usage",89.06,24.1,7,3,38.6,23.7,4,1506.81,"Core Value",2009,0,"Q3"
32,"Early Career (25-34)",Male,USA,Houston,0.4,"< 1 year",22,"Moderate Activity",NULL,12.4,66.6,3,123,161.71,25,54.24,"High Discount Usage",88.85,40.9,5,3,31.9,NULL,1,2502.36,"High Value",2942,0,"Q4"
53,"Established (45-54)",Female,Australia,Perth,0.1,"< 1 year",4,"Low Activity",18.2,10.3,72.8,0,98,155.28,NULL,74.88,"High Discount Usage",88.81,11.6,6,NULL,34.3,8.9,1,1493.82,"Core Value",66,1,"Q4"
27,"Early Career (25-34)",Female,USA,"Los Angeles",0.3,"< 1 year",6,"Low Activity",26.8,5.8,56.7,0,77,69.28,NULL,18.60,"Low Discount Usage",88.75,0.0,15,2,3.9,7.2,2,637.65,"Emerging Value",924,0,"Q2"
46,"Established (45-54)",Male,Australia,Sydney,0.5,"< 1 year",20,"Moderate Activity",32.3,8.3,55.2,3,85,84.90,2,26.28,"Moderate Discount Usage",88.66,21.3,9,1,29.4,20.9,1,1378.14,"Core Value",2819,0,"Q4"
34,"Early Career (25-34)",Male,Germany,Cologne,0.4,"< 1 year",26,"Top User",41.8,14.1,46.1,6,54,101.83,46,NULL,Unknown,88.50,49.9,5,2,NULL,NULL,5,1797.82,"Core Value",2533,0,"Q1"
22,"Young Adults (18-24)",Male,USA,"Los Angeles",0.5,"< 1 year",3,"Very Low Activity",16.2,4.7,78.2,0,52,26.38,39,44.70,"Moderate Discount Usage",88.36,37.0,7,NULL,17.4,14.2,1,263.09,"Emerging Value",1424,0,"Q2"
24,"Young Adults (18-24)",Female,USA,"Los Angeles",0.3,"< 1 year",18,"Moderate Activity",33.4,13.7,19.9,7,83,95.09,94,48.00,"Moderate Discount Usage",88.35,19.1,2,2,58.8,17.5,4,1215.62,"Core Value",4126,0,"Q1"
48,"Established (45-54)",Female,Germany,Cologne,0.5,"< 1 year",14,"Moderate Activity",36.3,14.6,31.9,NULL,78,148.13,9,73.70,"High Discount Usage",87.99,30.0,6,3,32.9,NULL,1,2548.92,"High Value",NULL,1,"Q1"
47,"Established (45-54)",Male,USA,Chicago,0.2,"< 1 year",29,"Top User",46.2,NULL,39.7,6,54,58.11,0,45.90,"Moderate Discount Usage",87.89,52.3,4,8,78.7,44.9,2,1301.76,"Core Value",NULL,0,"Q2"
38,"Middle Age (35-44)",Male,Canada,Ottawa,0.4,"< 1 year",19,"Moderate Activity",34.8,9.0,41.6,3,80,146.60,56,27.00,"Moderate Discount Usage",87.84,10.8,3,6,54.1,21.6,5,2962.05,"High Value",3865,0,"Q1"
27,"Early Career (25-34)",Female,USA,Phoenix,0.3,"< 1 year",14,"Moderate Activity",25.7,2.5,75.1,7,53,58.45,27,18.20,"Low Discount Usage",87.75,13.9,6,1,7.0,21.9,3,858.69,"Emerging Value",690,0,"Q3"
26,"Early Career (25-34)",Female,Canada,Calgary,0.5,"< 1 year",6,"Low Activity",20.4,12.9,48.1,7,128,44.83,12,25.20,"Moderate Discount Usage",87.59,22.1,5,4,34.7,21.5,4,442.82,"Emerging Value",NULL,0,"Q4"
45,"Established (45-54)",Male,USA,Phoenix,0.2,"< 1 year",27,"Top User",45.3,12.8,47.1,10,68,182.81,276,66.24,"High Discount Usage",87.40,21.5,3,5,36.1,27.4,2,3346.45,"High Value",4242,0,"Q4"
18,"Young Adults (18-24)",Male,Canada,Montreal,0.2,"< 1 year",16,"Moderate Activity",22.7,5.2,61.7,4,76,85.29,1,25.20,"Moderate Discount Usage",86.99,13.1,8,0,30.0,13.3,4,538.48,"Emerging Value",0,1,"Q1"
50,"Established (45-54)",Female,Canada,Vancouver,0.4,"< 1 year",34,"Top User",54.0,19.4,35.4,17,72,213.87,9,29.40,"Moderate Discount Usage",86.55,59.0,0,NULL,100.0,40.0,2,5430.21,"Top Customer",4677,0,"Q2"
19,"Young Adults (18-24)",Female,Germany,Hamburg,0.2,"< 1 year",1,"Very Low Activity",18.3,5.3,68.7,3,53,117.62,23,56.80,"High Discount Usage",86.43,NULL,9,0,30.0,15.0,5,1888.55,"Core Value",1480,1,"Q3"
18,"Young Adults (18-24)",Male,USA,"Los Angeles",0.4,"< 1 year",2,"Very Low Activity",27.0,NULL,65.7,2,76,37.45,39,11.50,"Low Discount Usage",86.41,0.0,8,1,NULL,14.9,4,267.34,"Emerging Value",487,1,"Q2"
NULL,Unknown,Female,France,Marseille,0.3,"< 1 year",19,"Moderate Activity",25.1,8.8,54.8,8,91,110.83,NULL,32.80,"Moderate Discount Usage",85.93,25.1,7,4,17.4,22.3,2,1188.06,"Core Value",1012,0,"Q3"
NULL,Unknown,Female,USA,"Los Angeles",0.3,"< 1 year",8,"Low Activity",16.4,8.1,65.0,0,66,149.75,56,58.20,"High Discount Usage",85.65,8.1,4,1,19.9,12.0,5,1266.19,"Core Value",3336,0,"Q3"
39,"Middle Age (35-44)",Male,Germany,Munich,0.3,"< 1 year",9,"Low Activity",41.0,14.1,47.1,7,91,193.47,59,26.00,"Moderate Discount Usage",85.50,23.7,4,4,40.9,19.7,2,2797.32,"High Value",1284,0,"Q2"
48,"Established (45-54)",Male,USA,"Los Angeles",0.4,"< 1 year",15,"Moderate Activity",25.9,NULL,73.5,4,71,178.27,8,33.40,"Moderate Discount Usage",85.48,8.8,7,2,0.0,10.6,1,2101.72,"Core Value",1688,1,"Q1"
29,"Early Career (25-34)",Female,France,Nice,0.3,"< 1 year",9,"Low Activity",23.8,8.3,61.4,1,83,156.77,12,38.40,"Moderate Discount Usage",85.47,15.2,9,0,25.2,17.0,3,772.98,"Emerging Value",NULL,0,"Q3"
43,"Middle Age (35-44)",Male,Germany,Berlin,0.1,"< 1 year",2,"Very Low Activity",NULL,3.1,83.2,0,78,59.11,201,44.20,"Moderate Discount Usage",85.08,0.0,9,4,NULL,3.6,3,262.56,"Emerging Value",984,1,"Q1"
27,"Early Career (25-34)",Male,India,Chennai,0.2,"< 1 year",24,"Moderate Activity",29.6,11.2,44.7,4,76,163.57,50,32.00,"Moderate Discount Usage",85.06,22.3,5,NULL,28.4,19.4,2,2887.85,"High Value",2244,0,"Q2"
29,"Early Career (25-34)",Male,Australia,Brisbane,0.5,"< 1 year",12,"Moderate Activity",20.2,8.5,52.9,4,61,110.79,5,NULL,Unknown,84.67,3.4,6,4,NULL,11.2,2,1238.05,"Core Value",4681,0,"Q2"
32,"Early Career (25-34)",Female,Australia,Melbourne,0.4,"< 1 year",3,"Very Low Activity",19.8,NULL,82.0,2,71,112.41,3,35.04,"Moderate Discount Usage",84.60,0.0,6,0,0.3,21.4,3,1335.13,"Core Value",0,0,"Q4"
35,"Middle Age (35-44)",Female,USA,"Los Angeles",0.5,"< 1 year",15,"Moderate Activity",29.8,9.2,71.1,NULL,60,55.49,NULL,NULL,Unknown,84.26,10.5,7,3,38.0,18.3,1,575.67,"Emerging Value",896,0,"Q3"
52,"Established (45-54)",Female,Australia,Adelaide,0.2,"< 1 year",14,"Moderate Activity",42.7,13.1,43.2,7,83,66.35,NULL,23.50,"Moderate Discount Usage",83.79,40.4,5,4,NULL,19.5,2,924.77,"Emerging Value",2164,0,"Q3"
24,"Young Adults (18-24)",Male,Germany,Munich,0.5,"< 1 year",16,"Moderate Activity",18.5,6.2,43.3,3,95,99.72,4,45.60,"Moderate Discount Usage",83.74,20.0,8,3,21.9,26.0,2,919.77,"Emerging Value",1311,0,"Q3"
30,"Early Career (25-34)",Male,USA,Chicago,0.2,"< 1 year",13,"Moderate Activity",32.9,9.1,43.4,4,76,98.14,8,35.00,"Moderate Discount Usage",83.62,20.6,5,4,27.4,18.3,1,1064.12,"Core Value",2929,0,"Q3"
48,"Established (45-54)",Female,USA,"New York",0.2,"< 1 year",3,"Very Low Activity",10.4,3.1,79.8,1,89,96.17,3,77.60,"High Discount Usage",83.33,0.0,8,2,22.3,NULL,2,667.09,"Emerging Value",1597,0,"Q3"
36,"Middle Age (35-44)",Male,Japan,Tokyo,0.3,"< 1 year",5,"Low Activity",18.4,6.6,55.0,2,71,74.21,41,56.76,"High Discount Usage",83.21,7.4,6,3,41.9,10.6,2,437.20,"Emerging Value",0,0,"Q4"
20,"Young Adults (18-24)",Female,USA,Phoenix,0.3,"< 1 year",23,"Moderate Activity",43.0,13.1,15.4,8,95,105.82,35,23.10,"Moderate Discount Usage",83.21,32.1,2,3,28.3,30.7,3,2637.78,"High Value",NULL,1,"Q2"
33,"Early Career (25-34)",Male,India,Bangalore,0.3,"< 1 year",24,"Moderate Activity",54.2,10.5,25.0,7,71,95.49,1,8.88,"Low Discount Usage",83.19,47.2,2,5,43.7,36.8,4,1720.52,"Core Value",4419,0,"Q4"
34,"Early Career (25-34)",Male,UK,Birmingham,0.2,"< 1 year",18,"Moderate Activity",34.7,12.3,72.4,7,127,146.35,15,40.20,"Moderate Discount Usage",82.65,30.0,5,3,56.6,27.0,2,2060.23,"Core Value",1575,0,"Q4"
18,"Young Adults (18-24)",Male,Australia,Melbourne,0.3,"< 1 year",12,"Moderate Activity",34.5,NULL,66.3,0,84,123.26,13,24.72,"Moderate Discount Usage",82.63,4.6,5,5,NULL,4.1,1,1814.59,"Core Value",1109,1,"Q4"
18,"Young Adults (18-24)",Male,Canada,Toronto,0.3,"< 1 year",7,"Low Activity",21.7,11.7,53.3,3,117,113.48,35,41.64,"Moderate Discount Usage",82.47,26.3,6,1,NULL,9.3,4,1303.03,"Core Value",NULL,0,"Q4"
41,"Middle Age (35-44)",Female,USA,Chicago,0.3,"< 1 year",33,"Top User",49.8,10.6,36.9,10,69,151.49,8,19.80,"Low Discount Usage",81.89,52.3,2,5,28.7,34.1,4,2471.89,"Core Value",3834,0,"Q3"
51,"Established (45-54)",Female,India,Chennai,0.3,"< 1 year",16,"Moderate Activity",31.4,7.4,66.7,8,66,71.92,15,9.90,"Low Discount Usage",81.51,24.0,3,1,38.5,16.0,1,575.58,"Emerging Value",1384,0,"Q1"
38,"Middle Age (35-44)",Male,USA,"New York",0.4,"< 1 year",2,"Very Low Activity",34.6,7.8,77.6,4,69,110.48,40,33.90,"Moderate Discount Usage",81.38,22.8,5,1,30.7,20.7,3,920.46,"Emerging Value",NULL,0,"Q2"
24,"Young Adults (18-24)",Other,Germany,Cologne,0.2,"< 1 year",13,"Moderate Activity",18.9,8.1,68.7,5,97,103.22,51,44.60,"Moderate Discount Usage",81.03,30.6,3,1,43.6,NULL,2,966.59,"Emerging Value",3817,0,"Q1"
38,"Middle Age (35-44)",Male,USA,Phoenix,0.1,"< 1 year",2,"Very Low Activity",NULL,4.0,80.1,1,124,152.26,31,30.24,"Moderate Discount Usage",80.94,NULL,5,1,7.0,19.7,2,797.88,"Emerging Value",2678,1,"Q4"
31,"Early Career (25-34)",Female,Canada,Toronto,0.1,"< 1 year",22,"Moderate Activity",34.8,10.2,38.1,6,98,202.45,89,13.90,"Low Discount Usage",80.88,22.4,3,6,10.4,28.3,5,2929.95,"High Value",4085,0,"Q3"
23,"Young Adults (18-24)",Male,UK,Leeds,0.4,"< 1 year",7,"Low Activity",NULL,5.6,87.2,1,74,60.09,27,40.50,"Moderate Discount Usage",80.78,6.7,7,1,NULL,0.0,1,394.95,"Emerging Value",696,1,"Q3"
38,"Middle Age (35-44)",Male,USA,"Los Angeles",0.2,"< 1 year",1,"Very Low Activity",24.2,4.7,28.0,2,54,122.25,13,12.30,"Low Discount Usage",80.76,18.0,8,2,18.1,12.8,2,1316.87,"Core Value",2687,0,"Q1"
30,"Early Career (25-34)",Female,UK,Birmingham,0.1,"< 1 year",4,"Low Activity",18.2,4.8,36.9,6,96,123.75,14,18.50,"Low Discount Usage",80.76,8.4,11,2,17.8,7.2,2,986.27,"Emerging Value",NULL,0,"Q1"
58,"Pre-Retirement (55-64)",Female,UK,Manchester,0.3,"< 1 year",11,"Moderate Activity",20.5,5.0,67.9,3,59,114.64,45,37.60,"Moderate Discount Usage",80.69,9.6,7,2,24.3,22.6,4,958.44,"Emerging Value",1391,0,"Q3"
36,"Middle Age (35-44)",Female,USA,"New York",0.3,"< 1 year",9,"Low Activity",19.9,5.5,58.4,1,98,141.32,NULL,31.44,"Moderate Discount Usage",80.49,3.3,5,2,24.0,27.0,2,1616.88,"Core Value",2167,0,"Q4"
50,"Established (45-54)",Female,Canada,Ottawa,0.2,"< 1 year",9,"Low Activity",20.0,3.0,74.0,0,50,92.34,18,52.90,"High Discount Usage",80.29,1.4,10,0,10.9,8.3,4,356.42,"Emerging Value",182,1,"Q3"
28,"Early Career (25-34)",Female,France,Lyon,0.4,"< 1 year",4,"Low Activity",19.2,5.9,38.0,0,72,73.82,13,62.16,"High Discount Usage",80.24,3.4,6,1,18.9,17.6,2,566.68,"Emerging Value",1334,0,"Q4"
44,"Middle Age (35-44)",Female,UK,Birmingham,0.4,"< 1 year",18,"Moderate Activity",38.6,9.3,67.4,NULL,98,116.64,29,43.30,"Moderate Discount Usage",80.21,18.1,4,4,20.5,16.4,1,1473.59,"Core Value",1731,0,"Q3"
42,"Middle Age (35-44)",Female,Japan,Kyoto,0.4,"< 1 year",17,"Moderate Activity",31.7,10.0,47.4,3,76,180.35,5,53.00,"High Discount Usage",80.16,24.4,5,0,36.7,25.8,4,2083.95,"Core Value",NULL,0,"Q2"
54,"Established (45-54)",Female,USA,Houston,2.9,"1-3 years",15,"Moderate Activity",20.4,NULL,58.5,6,16,84.03,17,26.28,"Moderate Discount Usage",39.40,31.4,9,3,0.0,11.9,2,1078.75,"Core Value",2573,1,"Q4"
44,"Middle Age (35-44)",Male,USA,"Los Angeles",6.1,"6+ years",2,"Very Low Activity",14.3,7.5,72.2,0,4,134.80,40,21.30,"Moderate Discount Usage",35.50,20.0,5,0,11.9,16.6,NULL,442.12,"Emerging Value",1985,1,"Q1"
NULL,Unknown,Male,USA,Houston,4.6,"3-6 years",21,"Moderate Activity",49.7,11.6,65.0,8,28,100.04,13,52.20,"High Discount Usage",34.50,39.6,8,3,72.8,NULL,3,2890.53,"High Value",3624,1,"Q2"
22,"Young Adults (18-24)",Male,USA,Phoenix,2.2,"1-3 years",21,"Moderate Activity",31.6,14.1,40.3,3,14,172.78,33,38.30,"Moderate Discount Usage",33.40,19.9,6,4,27.3,23.5,2,2171.58,"Core Value",1859,1,"Q2"
35,"Middle Age (35-44)",Female,USA,Chicago,3.5,"3-6 years",10,"Low Activity",18.9,6.7,81.2,2,7,156.04,43,34.90,"Moderate Discount Usage",33.20,5.5,4,1,3.1,3.6,4,1030.16,"Core Value",3194,1,"Q3"
21,"Young Adults (18-24)",Female,UK,Birmingham,3.5,"3-6 years",11,"Moderate Activity",23.5,6.3,65.0,4,10,112.17,8,41.40,"Moderate Discount Usage",32.60,7.6,10,3,52.3,13.1,2,1060.52,"Core Value",2083,1,"Q4"
